,epoch,x,y,z
43,1.53471E+12,-1.169921875,-1.580078125,0.640625
44,1.53471E+12,-1.410644531,-1.821777344,1.338867188
1,1.53471E+12,-2.024414063,-2.704589844,2.2734375
2,1.53471E+12,-2.174804688,-3.486328125,3.307617188
3,1.53471E+12,-2.305664063,-3.575683594,4.532226563
4,1.53471E+12,-2.267089844,-3.21484375,5.699707031
5,1.53471E+12,-2.373046875,-4.219238281,4.905273438
6,1.53471E+12,-1.792480469,-3.33203125,3.928710938
7,1.53471E+12,-2.532226563,-3.647949219,2.629882813
8,1.53471E+12,-2.91015625,-2.760742188,1.84375
9,1.53471E+12,-2.664550781,-1.895996094,1.405273438
10,1.53471E+12,-2.283691406,-1.435058594,1.018554688
11,1.53471E+12,-1.936523438,-1.263183594,0.629882813
12,1.53471E+12,-1.628417969,-1.239257813,0.306152344
13,1.53471E+12,-1.491699219,-1.208496094,0.103515625
14,1.53471E+12,-1.530273438,-1.226074219,0.024414063
15,1.53471E+12,-1.690917969,-1.410644531,0.021484375
16,1.53471E+12,-1.887207031,-1.540527344,0.005371094
17,1.53471E+12,-2.086425781,-1.638183594,-0.079101563
18,1.53471E+12,-2.196777344,-1.655273438,-0.150878906
19,1.53471E+12,-2.041992188,-1.647460938,-0.081542969
20,1.53471E+12,-2.020507813,-1.658203125,0.027832031
21,1.53471E+12,-1.971679688,-1.694335938,0.022460938
22,1.53471E+12,-1.903320313,-1.650878906,-0.068847656
23,1.53471E+12,-1.774902344,-1.595703125,-0.125
24,1.53471E+12,-1.380859375,-1.563964844,-0.208007813
25,1.53471E+12,-0.562011719,-1.616210938,-0.608398438
26,1.53471E+12,1.049804688,-1.653320313,-1.223144531
27,1.53471E+12,2.733886719,-1.617675781,-1.750488281
28,1.53471E+12,4.088867188,-2.124023438,-2.426757813
29,1.53471E+12,5.304199219,-2.697265625,-3.149414063
30,1.53471E+12,4.916015625,-2.700683594,-3.149414063
31,1.53471E+12,3.159667969,-2.291015625,-2.29296875
32,1.53471E+12,1.262207031,-2.12890625,-1.033203125
33,1.53471E+12,-0.242675781,-1.932128906,-0.478027344
34,1.53471E+12,-1.677734375,-2.044433594,-0.713867188
35,1.53471E+12,-3.263671875,-2.1484375,-0.424316406
36,1.53471E+12,-3.346679688,-1.836914063,-0.111816406
37,1.53471E+12,-3.106445313,-1.384765625,-0.134765625
38,1.53471E+12,-2.899902344,-1.303222656,-0.077148438
39,1.53471E+12,-2.614257813,-1.200195313,-0.012695313
40,1.53471E+12,-2.272460938,-1.04296875,-0.114257813
41,1.53471E+12,-2.025390625,-1.034179688,-0.158691406
42,1.53471E+12,-2.084960938,-1.182128906,-0.002929688
43,1.53471E+12,-1.94921875,-1.360351563,0.032226563
44,1.53471E+12,-1.438476563,-1.381835938,-0.1796875
45,1.53471E+12,-1.413574219,-1.55078125,-0.168457031
46,1.53471E+12,-1.728027344,-1.551269531,0.965820313
1,1.53471E+12,-1.364257813,-1.508300781,2.40234375
2,1.53471E+12,-1.35546875,-1.870605469,2.788574219
3,1.53471E+12,-2.935058594,-2.993164063,3.403320313
4,1.53471E+12,-4.037109375,-3.727539063,4.544921875
5,1.53471E+12,-4.19921875,-3.651367188,4.700195313
6,1.53471E+12,-3.835449219,-3.505859375,3.883300781
7,1.53471E+12,-3.297363281,-3.518554688,2.828613281
8,1.53471E+12,-3.133789063,-2.974609375,2.129394531
9,1.53471E+12,-2.852050781,-2.145996094,1.502441406
10,1.53471E+12,-2.551757813,-1.634765625,1.022949219
11,1.53471E+12,-2.225585938,-1.444824219,0.612792969
12,1.53471E+12,-1.951660156,-1.533203125,0.260742188
13,1.53471E+12,-1.743164063,-1.633300781,-0.030273438
14,1.53471E+12,-1.626464844,-1.671875,-0.193359375
15,1.53471E+12,-1.74609375,-1.754394531,-0.139648438
16,1.53471E+12,-1.920410156,-1.891113281,-0.129394531
17,1.53471E+12,-2.106933594,-1.866210938,-0.252441406
18,1.53471E+12,-2.323242188,-1.866210938,-0.357421875
19,1.53471E+12,-2.377441406,-1.910644531,-0.350097656
20,1.53471E+12,-2.283203125,-1.926757813,-0.276855469
21,1.53471E+12,-2.306152344,-1.875,-0.23046875
22,1.53471E+12,-2.442871094,-1.879882813,-0.3515625
23,1.53471E+12,-2.16796875,-1.918457031,-0.356445313
24,1.53471E+12,-1.279296875,-2.017578125,-0.4765625
25,1.53471E+12,0,-1.920410156,-1.1640625
26,1.53471E+12,1.357421875,-1.6171875,-2.057128906
27,1.53471E+12,2.666503906,-1.218261719,-1.875976563
28,1.53471E+12,3.814453125,-1.541015625,-2.352050781
29,1.53471E+12,5.819824219,-2.063964844,-3.829101563
30,1.53471E+12,5.651367188,-1.904785156,-3.730957031
31,1.53471E+12,4.209960938,-1.698242188,-2.625
32,1.53471E+12,1.849121094,-1.853027344,-1.556640625
33,1.53471E+12,-0.125,-2.061523438,-0.856933594
34,1.53471E+12,-1.684082031,-2.125488281,-0.705566406
35,1.53471E+12,-3.010253906,-2.0625,-0.76953125
36,1.53471E+12,-3.325683594,-1.881835938,-0.672851563
37,1.53471E+12,-3.134765625,-1.509765625,-0.630371094
38,1.53471E+12,-2.937011719,-1.26953125,-0.736328125
39,1.53471E+12,-2.702636719,-1.139160156,-0.708984375
40,1.53471E+12,-2.48828125,-1.047851563,-0.581054688
41,1.53471E+12,-2.163574219,-1.009765625,-0.486328125
42,1.53471E+12,-1.982910156,-1.013183594,-0.463378906
